project_name,nb_XML_files_beans_config,nb_Java_files_beans_config,nb_total_files_beans_config,nb_XML_beans,nb_Java_beans,nb_total_beans,is_autowired,nb_Java_files,LoC_Java,stargazers_count,watchers_count,forks_count,open_issues_count,score,size,created_at,
snicoll/spring-boot-daemon,0,0,0,0,0,0,True,6,163,157,157,46,3,41.1576,71,2015-10-07T12:04:27Z,
snicoll-demos/spring-boot-master-auto-configuration,0,1,1,0,6,6,True,7,353,102,102,58,4,39.46056,118,2015-04-13T09:19:15Z,
sofn/app-engine,10,6,16,22,10,32,True,84,3802,263,263,148,1,42.00958,426,2015-10-14T10:11:03Z,
songjhh/songjhh_blog,4,0,4,29,0,29,False,37,3333,117,117,67,0,42.117348,16500,2017-02-04T04:39:38Z,
songxinjianqwe/Chat,0,0,0,0,0,0,False,39,1614,122,122,84,2,31.825294,7875,2017-05-22T05:57:15Z,
souyunku/SpringBootExamples,0,10,10,0,37,37,True,93,3379,415,415,323,8,66.785904,1104,2017-10-30T02:44:42Z,
souyunku/SpringCloudExamples,0,0,0,0,5,5,True,29,522,105,105,93,1,53.68881,105,2017-10-26T12:49:18Z,
speedment/speedment,0,0,0,0,0,0,False,2396,119210,1562,1562,196,68,32.56477,18835,2015-01-19T16:41:52Z,
spring-cloud/spring-cloud-aws,0,14,14,0,27,27,False,175,7880,312,312,216,144,51.95182,43910,2014-10-27T14:30:09Z,
spring-cloud/spring-cloud-bus,0,2,2,0,9,9,False,25,1174,229,229,158,27,54.329628,2059,2014-08-22T20:17:27Z,
spring-cloud/spring-cloud-cli,0,1,1,0,5,5,True,38,1819,101,101,54,15,44.69374,240394,2014-07-31T19:47:54Z,
spring-cloud/spring-cloud-commons,0,21,21,0,56,56,True,161,6976,231,231,237,47,51.701603,10486,2014-12-01T21:52:43Z,
spring-cloud/spring-cloud-config,0,12,12,0,46,46,True,129,7413,1125,1125,816,104,63.098213,34854,2014-06-13T16:59:44Z,
spring-cloud/spring-cloud-connectors,0,1,1,0,1,1,False,144,4417,128,128,130,16,46.80154,2590,2013-05-07T17:15:46Z,
spring-cloud/spring-cloud-consul,0,9,9,0,32,32,False,51,3225,469,469,318,50,60.972332,73931,2014-12-01T22:56:34Z,
spring-cloud/spring-cloud-core-tests,0,2,2,0,14,14,True,39,757,115,115,107,0,45.334663,514,2015-01-23T10:54:39Z,
spring-cloud/spring-cloud-dataflow,0,16,16,0,103,103,True,433,22931,419,419,273,202,54.142277,38613,2015-07-21T20:56:11Z,
spring-cloud/spring-cloud-function,0,8,8,0,34,34,True,135,9413,433,433,131,20,49.945374,2672,2016-09-22T02:34:34Z,
spring-cloud/spring-cloud-gateway,0,7,7,0,83,83,False,143,9437,1115,1115,655,153,61.731068,4568,2016-11-16T21:42:51Z,
spring-cloud/spring-cloud-gcp,0,18,18,0,92,92,True,265,14446,225,225,133,78,48.1844,5987,2017-03-24T19:58:20Z,
spring-cloud/spring-cloud-kubernetes,0,6,6,0,24,24,True,66,3341,932,932,225,59,54.9122,1018,2016-12-13T21:36:25Z,
spring-cloud/spring-cloud-netflix,0,28,28,0,142,142,False,216,16128,2952,2952,1485,304,69.2118,14931,2014-07-11T15:46:12Z,
spring-cloud/spring-cloud-openfeign,0,10,10,0,33,33,True,46,3031,122,122,72,14,43.205284,9824,2018-02-05T21:26:12Z,
spring-cloud/spring-cloud-open-service-broker,0,5,5,0,19,19,False,132,5985,101,101,75,9,41.096657,1895,2015-12-17T23:06:57Z,
spring-cloud/spring-cloud-security,0,3,3,0,5,5,False,8,492,296,296,154,44,50.02043,2006,2014-09-23T10:47:51Z,
spring-cloud/spring-cloud-sleuth,0,23,23,0,106,106,True,171,9760,893,893,434,31,60.85967,79516,2015-03-06T20:51:47Z,
spring-cloud/spring-cloud-stream,0,14,14,0,55,55,True,186,10777,395,395,258,65,53.662,6811,2015-07-08T15:51:38Z,
spring-cloud/spring-cloud-stream-samples,0,3,3,0,22,22,True,79,3607,257,257,219,20,53.36894,503,2016-02-19T14:32:27Z,
spring-cloud/spring-cloud-task,0,12,12,0,35,35,True,107,5696,186,186,154,15,48.741177,2552,2015-09-02T20:12:00Z,
spring-cloud/spring-cloud-vault,0,10,10,0,20,20,False,55,2459,131,131,55,9,41.80626,2314,2016-02-11T00:24:55Z,
spring-cloud/spring-cloud-zookeeper,0,16,16,0,32,32,False,69,3008,314,314,248,13,58.139874,29505,2015-01-28T21:34:09Z,
SpringCloud/spring-cloud-code,0,34,34,0,95,95,True,522,11077,440,440,223,17,53.081764,1943,2018-03-07T11:57:24Z,
SpringCloud/spring-cloud-codegen,0,1,1,0,1,1,True,50,2497,146,146,58,3,42.46788,8115,2017-10-29T07:23:09Z,
SpringCloud/spring-cloud-dubbo,0,1,1,0,2,2,True,16,614,168,168,29,7,42.163242,60,2018-05-15T07:35:45Z,
SpringCloud/spring-cloud-gray,0,15,15,0,31,31,True,112,4204,199,199,73,1,44.62861,1162,2018-03-06T04:59:40Z,
spring-cloud-incubator/spring-cloud-alibaba,0,21,21,0,59,59,True,173,8190,2556,2556,526,25,62.55723,1054,2017-12-01T20:49:15Z,
spring-cloud-samples/brewery,0,6,6,0,19,19,True,62,1640,281,281,97,5,39.06327,36515,2015-12-07T14:58:06Z,
spring-cloud-samples/sample-zuul-filters,0,0,0,0,7,7,True,10,338,151,151,61,5,31.314383,64,2017-03-22T19:57:24Z,
spring-cloud-samples/springbox-cloud,0,2,2,0,2,2,True,41,1219,100,100,66,7,46.117733,497,2015-04-20T20:40:50Z,
spring-cloud-samples/spring-cloud-contract-samples,0,1,1,0,7,7,True,39,1176,128,128,177,3,48.51386,18344,2016-11-09T12:30:56Z,
spring-cloud-samples/spring-cloud-gateway-sample,0,0,0,0,4,4,True,1,69,118,118,47,3,41.936893,77,2017-10-13T16:41:13Z,
SpringDataElasticsearchDevs/spring-data-elasticsearch-sample-application,0,0,0,0,0,0,False,15,462,163,163,142,5,49.42624,360,2013-02-11T12:00:44Z,
SpringForAll/spring-boot-starter-hbase,0,0,0,0,1,1,False,8,277,164,164,86,2,45.09833,30,2017-03-20T08:05:54Z,
SpringForAll/spring-boot-starter-swagger,0,1,1,0,3,3,False,4,400,992,992,281,44,56.371082,165,2017-08-08T09:24:42Z,
SpringForAll/springcloud-thoth,0,9,9,0,21,21,True,123,5143,467,467,283,5,57.969822,345,2017-11-02T12:00:43Z,
springfox/springfox,0,12,12,0,36,36,True,455,22869,3204,3204,1008,389,75.56616,156507,2012-05-06T06:38:57Z,
springfox/springfox-demos,1,0,1,1,15,16,True,14,531,459,459,249,33,56.990498,172,2015-04-01T10:24:07Z,
springframeworkguru/spring5webapp,0,0,0,0,0,0,True,1,9,102,102,1072,12,71.09177,83,2017-05-16T00:00:24Z,
springframeworkguru/springbootwebapp,0,1,1,0,1,1,True,10,214,337,337,507,6,64.485985,1107,2015-06-11T14:27:02Z,
spring-guides/getting-started-guides,0,0,0,0,0,0,True,2,20,147,147,95,22,26.53679,381,2013-10-28T20:59:08Z,
spring-guides/gs-rest-service,0,0,0,0,0,0,True,3,39,701,701,1313,15,57.06009,906,2013-04-12T14:54:36Z,
spring-guides/gs-securing-web,0,1,1,0,1,1,True,3,61,114,114,206,3,33.25219,668,2013-05-19T09:34:23Z,
spring-guides/gs-serving-web-content,0,0,0,0,0,0,True,2,22,141,141,294,4,45.71925,367,2013-07-16T17:28:43Z,
spring-guides/gs-spring-boot,0,0,0,0,1,1,True,3,51,362,362,668,7,59.030636,477,2013-07-30T18:25:34Z,
spring-guides/gs-spring-boot-docker,0,0,0,0,0,0,True,2,25,311,311,491,15,56.645493,435,2015-04-01T08:57:10Z,
spring-guides/gs-uploading-files,0,0,0,0,1,1,True,9,292,198,198,249,13,34.97002,466,2013-04-23T21:11:14Z,
spring-guides/tut-rest,0,4,4,0,4,4,True,22,551,225,225,166,23,48.910976,365,2014-10-22T18:04:36Z,
spring-guides/tut-spring-boot-oauth2,0,3,3,0,12,12,True,7,449,473,473,413,16,54.32373,177,2015-11-24T11:29:05Z,
spring-io/initializr,0,4,4,0,15,15,True,75,5966,1064,1064,676,38,58.588528,3982,2013-06-07T16:02:22Z,
spring-io/sagan,0,13,13,0,46,46,True,252,13790,1739,1739,777,146,60.658733,25702,2013-05-08T11:36:50Z,
spring-petclinic/spring-petclinic-microservices,0,0,0,0,1,1,True,35,853,279,279,252,15,59.972034,6939,2016-11-12T14:57:30Z,
spring-projects/greenhouse,2,8,10,9,25,34,True,186,5514,1032,1032,618,10,60.352375,5461,2011-02-21T19:13:55Z,
spring-projects/rest-shell,0,0,0,0,0,0,False,27,1778,436,436,97,32,32.69505,572,2012-09-25T20:52:16Z,
spring-projects/spring-amqp,0,1,1,0,2,2,False,278,24096,445,445,377,5,59.50969,10991,2010-11-17T15:50:16Z,
spring-projects/spring-amqp-samples,7,6,13,12,42,54,True,37,1376,376,376,293,0,59.713585,450,2011-03-10T14:40:16Z,
